risk_id,project_id,sector,location,risk_category,risk_description,probability,impact,severity_label
R0148,P028,hospitality,Ndola,External/Stakeholder,"A major risk: a change in data protection regulations affecting the design of the branch network expansion, which threatens to push the branch network expansion significantly behind schedule.",0.6,0.46,High
R0149,P029,construction,Livingstone,Resource/Staffing,"A moderate risk: a shortage of skilled ICT staff in Livingstone able to support the e-commerce platform rollout, which has raised concerns among the project team about the quality of the e-commerce platform rollout.",0.3,0.34,Medium
R0150,P030,construction,Kabwe,Scope/Requirements,"A growing risk: additional feature requests expanding the original scope of the warehouse expansion project, which has raised concerns among the project team about the quality of the warehouse expansion project.",0.3,0.5,Medium
R0151,P031,mining supply chain,Livingstone,Resource/Staffing,"A noticeable risk: scheduling conflicts with contractors assigned to the solar power installation, which has raised concerns among the project team about the quality of the solar power installation.",0.43,0.48,Medium
R0152,P032,mining supply chain,Solwezi,Resource/Staffing,"A small risk: insufficient project management capacity to oversee the e-commerce platform rollout, which was identified early and resolved with minimal effort.",0.19,0.13,Low
R0153,P033,agribusiness,Chipata,Scope/Requirements,"A significant risk: frequent change requests from stakeholders affecting the warehouse expansion project, which may require escalation to senior management to resolve issues with the warehouse expansion project.",0.64,0.76,Critical
R0154,P034,construction,Ndola,Technical,"A serious risk: a performance bottleneck in the staff training programme under the low-bandwidth conditions typical in Ndola, which threatens to push the staff training programme significantly behind schedule.",0.53,0.77,High
R0155,P035,agribusiness,Solwezi,Schedule,"A severe risk: scope creep that is pushing back the planned milestones for the point-of-sale upgrade, which poses a serious risk to the successful completion of the point-of-sale upgrade.",0.75,0.74,Critical
R0156,P036,logistics,Lusaka,Cost/Financial,"A potentially catastrophic risk: currency exchange losses on international payments related to the e-commerce platform rollout, which could halt the e-commerce platform rollout entirely until resolved.",0.93,0.89,Critical
R0157,P037,mining supply chain,Kitwe,Cost/Financial,"A minor risk: ZMW depreciation against the US dollar increasing the cost of software licences for the point-of-sale upgrade, which caused only a brief delay to the point-of-sale upgrade.",0.18,0.05,Low
R0158,P038,retail,Kabwe,Schedule,"A minor risk: a delay in the delivery of imported equipment for the branch network expansion pending ZRA customs clearance, which was identified early and resolved with minimal effort.",0.28,0.12,Low
R0159,P039,retail,Ndola,Scope/Requirements,"A growing risk: unclear requirements from management regarding the scope of the point-of-sale upgrade, which has raised concerns among the project team about the quality of the point-of-sale upgrade.",0.5,0.4,Medium
R0160,P040,hospitality,Chipata,Schedule,"A growing risk: the user-acceptance testing phase for the warehouse expansion project taking longer than planned, which could delay the warehouse expansion project by one to two weeks if not addressed promptly.",0.25,0.36,Medium
R0161,P041,retail,Solwezi,Technical,"A significant risk: a software bug discovered in the core module of the branch network expansion, which could substantially increase the overall cost of the branch network expansion.",0.74,0.64,Critical
R0162,P042,ICT/software services,Solwezi,Technical,"A critical risk: a licensing conflict with third-party software used in the customer database migration, which could halt the customer database migration entirely until resolved.",0.86,0.72,Critical
R0163,P043,construction,Solwezi,External/Stakeholder,"A significant risk: a change in data protection regulations affecting the design of the mobile money integration, which may require escalation to senior management to resolve issues with the mobile money integration.",0.46,0.64,High
R0164,P044,construction,Kitwe,External/Stakeholder,"A noticeable risk: frequent ZESCO load shedding affecting day-to-day operations during the point-of-sale upgrade, which is likely to require additional resources to keep the point-of-sale upgrade on track.",0.27,0.48,Medium
R0165,P045,ICT/software services,Solwezi,Schedule,"A slight risk: rescheduled staff training sessions delaying the rollout of the new inventory management system, which caused only a brief delay to the new inventory management system.",0.2,0.35,Low
R0166,P046,logistics,Chipata,External/Stakeholder,"A slight risk: delays in approvals from an external stakeholder (e.g. a bank or regulator) needed for the e-commerce platform rollout, which caused only a brief delay to the e-commerce platform rollout.",0.31,0.06,Low
R0167,P047,mining supply chain,Kabwe,Cost/Financial,"A minor risk: depletion of the contingency reserve allocated to the customer database migration, which required minor adjustments but did not affect the overall plan for the customer database migration.",0.32,0.17,Low
R0168,P048,hospitality,Ndola,Scope/Requirements,"A moderate risk: incomplete requirements gathering due to limited stakeholder availability for the staff training programme, which is likely to require additional resources to keep the staff training programme on track.",0.27,0.43,Medium
R0169,P049,mining supply chain,Chipata,Cost/Financial,"A slight risk: depletion of the contingency reserve allocated to the staff training programme, which caused only a brief delay to the staff training programme.",0.23,0.18,Low
R0170,P050,ICT/software services,Kabwe,External/Stakeholder,"A moderate risk: unreliable internet connectivity at branch locations in Kabwe supporting the solar power installation, which has raised concerns among the project team about the quality of the solar power installation.",0.44,0.49,Medium
R0171,P051,agribusiness,Kitwe,Cost/Financial,"A major risk: ZMW depreciation against the US dollar increasing the cost of software licences for the branch network expansion, which threatens to push the branch network expansion significantly behind schedule.",0.49,0.66,High
R0172,P052,hospitality,Solwezi,External/Stakeholder,"A minor risk: dependency on a single internet service provider with no backup link for the solar power installation, which caused only a brief delay to the solar power installation.",0.33,0.06,Low
R0173,P053,logistics,Kitwe,Technical,"A moderate risk: a compatibility issue between the financial reporting system and the existing point-of-sale hardware, which could delay the financial reporting system by one to two weeks if not addressed promptly.",0.37,0.44,Medium
R0174,P054,retail,Kabwe,Resource/Staffing,"A major risk: scheduling conflicts with contractors assigned to the branch network expansion, which may require escalation to senior management to resolve issues with the branch network expansion.",0.53,0.54,High
R0175,P055,construction,Ndola,Resource/Staffing,"A growing risk: reliance on part-time staff to support the e-commerce platform rollout after hours, which could delay the e-commerce platform rollout by one to two weeks if not addressed promptly.",0.51,0.39,Medium
R0176,P056,ICT/software services,Ndola,Cost/Financial,"A significant risk: import duties on hardware for the solar power installation being higher than originally estimated, which could substantially increase the overall cost of the solar power installation.",0.72,0.75,Critical
R0177,P057,manufacturing,Kitwe,Technical,"A growing risk: a licensing conflict with third-party software used in the e-commerce platform rollout, which is likely to require additional resources to keep the e-commerce platform rollout on track.",0.49,0.26,Medium
R0178,P058,retail,Ndola,Scope/Requirements,"A significant risk: a lack of documented standard operating procedures needed to configure the warehouse expansion project, which may require escalation to senior management to resolve issues with the warehouse expansion project.",0.54,0.8,High
R0179,P059,construction,Ndola,Resource/Staffing,"A noticeable risk: reliance on part-time staff to support the financial reporting system after hours, which has raised concerns among the project team about the quality of the financial reporting system.",0.54,0.44,High
R0180,P060,construction,Kitwe,Schedule,"A moderate risk: a contractor delay affecting the implementation timeline of the branch network expansion, which has raised concerns among the project team about the quality of the branch network expansion.",0.38,0.52,Medium
R0181,P001,manufacturing,Solwezi,Schedule,"A small risk: a contractor delay affecting the implementation timeline of the warehouse expansion project, which caused only a brief delay to the warehouse expansion project.",0.15,0.33,Low
R0182,P002,ICT/software services,Kitwe,Scope/Requirements,"A slight risk: additional feature requests expanding the original scope of the staff training programme, which required minor adjustments but did not affect the overall plan for the staff training programme.",0.23,0.08,Low
R0183,P003,agribusiness,Solwezi,Schedule,"A critical risk: rainy-season disruptions to site logistics for the warehouse expansion project in Solwezi, which may result in the SME abandoning the warehouse expansion project altogether.",0.89,0.61,Critical
R0184,P004,mining supply chain,Lusaka,Scope/Requirements,"A slight risk: incomplete requirements gathering due to limited stakeholder availability for the customer database migration, which caused only a brief delay to the customer database migration.",0.32,0.21,Low
R0185,P005,mining supply chain,Chipata,External/Stakeholder,"A small risk: a security incident at the project site affecting the customer database migration, which caused only a brief delay to the customer database migration.",0.07,0.07,Low
R0186,P006,logistics,Kitwe,Cost/Financial,"A noticeable risk: underestimated cloud hosting costs for the financial reporting system, which could delay the financial reporting system by one to two weeks if not addressed promptly.",0.51,0.35,Medium
R0187,P007,logistics,Ndola,Scope/Requirements,"A major risk: a misalignment between business requirements and the technical design of the branch network expansion, which threatens to push the branch network expansion significantly behind schedule.",0.52,0.49,High
R0188,P008,manufacturing,Kabwe,Cost/Financial,"A small risk: currency exchange losses on international payments related to the customer database migration, which was identified early and resolved with minimal effort.",0.34,0.32,Medium
R0189,P009,mining supply chain,Choma,Resource/Staffing,"A serious risk: insufficient project management capacity to oversee the branch network expansion, which may require escalation to senior management to resolve issues with the branch network expansion.",0.71,0.62,High
R0190,P010,agribusiness,Solwezi,Schedule,"A growing risk: rescheduled staff training sessions delaying the rollout of the e-commerce platform rollout, which is likely to require additional resources to keep the e-commerce platform rollout on track.",0.27,0.4,Medium
R0191,P011,ICT/software services,Kitwe,Technical,"A noticeable risk: a software bug discovered in the core module of the customer database migration, which is likely to require additional resources to keep the customer database migration on track.",0.47,0.48,High
R0192,P012,ICT/software services,Solwezi,Scope/Requirements,"A slight risk: incomplete requirements gathering due to limited stakeholder availability for the e-commerce platform rollout, which required minor adjustments but did not affect the overall plan for the e-commerce platform rollout.",0.07,0.2,Low
R0193,P013,hospitality,Ndola,Technical,"A significant risk: a licensing conflict with third-party software used in the warehouse expansion project, which threatens to push the warehouse expansion project significantly behind schedule.",0.56,0.8,High
R0194,P014,agribusiness,Lusaka,Scope/Requirements,"A small risk: a lack of documented standard operating procedures needed to configure the customer database migration, which was identified early and resolved with minimal effort.",0.06,0.26,Low
R0195,P015,logistics,Solwezi,Scope/Requirements,"A significant risk: incomplete requirements gathering due to limited stakeholder availability for the warehouse expansion project, which may require escalation to senior management to resolve issues with the warehouse expansion project.",0.5,0.8,High
R0196,P016,ICT/software services,Choma,Scope/Requirements,"A noticeable risk: frequent change requests from stakeholders affecting the branch network expansion, which is likely to require additional resources to keep the branch network expansion on track.",0.39,0.25,Medium
R0197,P017,ICT/software services,Choma,External/Stakeholder,"A growing risk: a logistics disruption during the rainy season affecting deliveries for the new inventory management system, which has raised concerns among the project team about the quality of the new inventory management system.",0.54,0.48,High
R0198,P018,construction,Kabwe,Resource/Staffing,"A slight risk: the resignation of a key team member midway through the warehouse expansion project, which was identified early and resolved with minimal effort.",0.3,0.12,Low
R0199,P019,hospitality,Kitwe,Cost/Financial,"A slight risk: depletion of the contingency reserve allocated to the customer database migration, which required minor adjustments but did not affect the overall plan for the customer database migration.",0.26,0.17,Low
R0200,P020,logistics,Livingstone,External/Stakeholder,"A major risk: delays in approvals from an external stakeholder (e.g. a bank or regulator) needed for the warehouse expansion project, which threatens to push the warehouse expansion project significantly behind schedule.",0.75,0.62,Critical
R0201,P021,ICT/software services,Solwezi,Scope/Requirements,"A moderate risk: incomplete requirements gathering due to limited stakeholder availability for the solar power installation, which has raised concerns among the project team about the quality of the solar power installation.",0.43,0.31,Medium
R0202,P022,mining supply chain,Livingstone,Cost/Financial,"A growing risk: additional costs arising from an extended timeline for the staff training programme, which is likely to require additional resources to keep the staff training programme on track.",0.35,0.35,Medium
R0203,P023,hospitality,Kabwe,External/Stakeholder,"A minor risk: broader economic instability affecting business confidence in the branch network expansion, which was identified early and resolved with minimal effort.",0.3,0.34,Medium
R0204,P024,mining supply chain,Solwezi,External/Stakeholder,"A moderate risk: a logistics disruption during the rainy season affecting deliveries for the mobile money integration, which has raised concerns among the project team about the quality of the mobile money integration.",0.45,0.47,Medium
R0205,P025,retail,Kitwe,Scope/Requirements,"A moderate risk: unclear requirements from management regarding the scope of the staff training programme, which has raised concerns among the project team about the quality of the staff training programme.",0.43,0.43,Medium
R0206,P026,retail,Lusaka,Schedule,"A critical risk: a dependency on an external consultant whose availability is delaying the e-commerce platform rollout, which could halt the e-commerce platform rollout entirely until resolved.",0.74,0.85,Critical
R0207,P027,mining supply chain,Choma,Schedule,"A severe risk: a delay in stakeholder sign-off on a key milestone for the customer database migration, which poses a serious risk to the successful completion of the customer database migration.",0.83,0.86,Critical
R0208,P028,agribusiness,Livingstone,Technical,"A serious risk: a software bug discovered in the core module of the financial reporting system, which could substantially increase the overall cost of the financial reporting system.",0.72,0.51,High
R0209,P029,agribusiness,Lusaka,Schedule,"A major risk: rainy-season disruptions to site logistics for the staff training programme in Lusaka, which could substantially increase the overall cost of the staff training programme.",0.54,0.66,High
R0210,P030,construction,Choma,Scope/Requirements,"A critical risk: frequent change requests from stakeholders affecting the branch network expansion, which poses a serious risk to the successful completion of the branch network expansion.",0.9,0.76,Critical
R0211,P031,agribusiness,Kitwe,Resource/Staffing,"A slight risk: scheduling conflicts with contractors assigned to the staff training programme, which was identified early and resolved with minimal effort.",0.27,0.29,Low
R0212,P032,logistics,Kabwe,External/Stakeholder,"A serious risk: a change in data protection regulations affecting the design of the customer database migration, which could substantially increase the overall cost of the customer database migration.",0.48,0.68,High
R0213,P033,hospitality,Chipata,Schedule,"A noticeable risk: rainy-season disruptions to site logistics for the new inventory management system in Chipata, which has raised concerns among the project team about the quality of the new inventory management system.",0.32,0.48,Medium
R0214,P034,manufacturing,Solwezi,Technical,"A major risk: a delay in integrating the staff training programme with mobile money APIs (MTN/Airtel), which could substantially increase the overall cost of the staff training programme.",0.47,0.49,High
R0215,P035,ICT/software services,Ndola,External/Stakeholder,"A serious risk: dependency on a single internet service provider with no backup link for the staff training programme, which threatens to push the staff training programme significantly behind schedule.",0.56,0.53,High
R0216,P036,mining supply chain,Kabwe,Scope/Requirements,"A moderate risk: a misalignment between business requirements and the technical design of the solar power installation, which has raised concerns among the project team about the quality of the solar power installation.",0.48,0.49,High
R0217,P037,logistics,Choma,Technical,"A serious risk: system downtime caused by ZESCO load shedding affecting servers running the branch network expansion, which may require escalation to senior management to resolve issues with the branch network expansion.",0.47,0.65,High
R0218,P038,retail,Choma,Schedule,"A noticeable risk: a contractor delay affecting the implementation timeline of the solar power installation, which has raised concerns among the project team about the quality of the solar power installation.",0.45,0.47,Medium
R0219,P039,hospitality,Kitwe,Technical,"A noticeable risk: a security vulnerability discovered in the authentication module of the point-of-sale upgrade, which has raised concerns among the project team about the quality of the point-of-sale upgrade.",0.39,0.27,Medium
R0220,P040,retail,Livingstone,Cost/Financial,"A minor risk: ZMW depreciation against the US dollar increasing the cost of software licences for the new inventory management system, which was identified early and resolved with minimal effort.",0.06,0.15,Low
R0221,P041,hospitality,Chipata,Resource/Staffing,"A potentially catastrophic risk: insufficient project management capacity to oversee the new inventory management system, which poses a serious risk to the successful completion of the new inventory management system.",0.66,0.65,High
R0222,P042,hospitality,Kabwe,Resource/Staffing,"A potentially catastrophic risk: inadequate training of end-users ahead of the the point-of-sale upgrade rollout, which may result in the SME abandoning the point-of-sale upgrade altogether.",0.63,0.94,Critical
R0223,P043,construction,Kabwe,Technical,"A critical risk: a software bug discovered in the core module of the warehouse expansion project, which poses a serious risk to the successful completion of the warehouse expansion project.",0.85,0.68,Critical
R0224,P044,hospitality,Kabwe,External/Stakeholder,"A noticeable risk: a change in data protection regulations affecting the design of the branch network expansion, which is likely to require additional resources to keep the branch network expansion on track.",0.5,0.32,Medium
R0225,P045,hospitality,Lusaka,External/Stakeholder,"A minor risk: a logistics disruption during the rainy season affecting deliveries for the mobile money integration, which was identified early and resolved with minimal effort.",0.23,0.33,Low
R0226,P046,agribusiness,Choma,Scope/Requirements,"A small risk: a misalignment between business requirements and the technical design of the new inventory management system, which required minor adjustments but did not affect the overall plan for the new inventory management system.",0.12,0.06,Low
R0227,P047,manufacturing,Chipata,Technical,"A small risk: a licensing conflict with third-party software used in the warehouse expansion project, which was identified early and resolved with minimal effort.",0.29,0.27,Low
R0228,P048,hospitality,Livingstone,Schedule,"A growing risk: a dependency on an external consultant whose availability is delaying the branch network expansion, which has raised concerns among the project team about the quality of the branch network expansion.",0.34,0.27,Medium
R0229,P049,logistics,Lusaka,Scope/Requirements,"A significant risk: conflicting priorities among departments regarding the point-of-sale upgrade, which may require escalation to senior management to resolve issues with the point-of-sale upgrade.",0.73,0.68,Critical
R0230,P050,construction,Kabwe,Schedule,"A moderate risk: rainy-season disruptions to site logistics for the staff training programme in Kabwe, which has raised concerns among the project team about the quality of the staff training programme.",0.48,0.39,Medium
R0231,P051,hospitality,Kabwe,Resource/Staffing,"A minor risk: high staff turnover during the implementation of the new inventory management system, which was identified early and resolved with minimal effort.",0.22,0.09,Low
R0232,P052,retail,Solwezi,Technical,"A moderate risk: a security vulnerability discovered in the authentication module of the point-of-sale upgrade, which is likely to require additional resources to keep the point-of-sale upgrade on track.",0.41,0.5,Medium
R0233,P053,manufacturing,Ndola,Scope/Requirements,"A significant risk: a misalignment between business requirements and the technical design of the new inventory management system, which could substantially increase the overall cost of the new inventory management system.",0.69,0.66,Critical
R0234,P054,manufacturing,Lusaka,Cost/Financial,"A minor risk: depletion of the contingency reserve allocated to the staff training programme, which was identified early and resolved with minimal effort.",0.33,0.34,Medium
R0235,P055,manufacturing,Kabwe,External/Stakeholder,"A major risk: dependency on a single internet service provider with no backup link for the e-commerce platform rollout, which may require escalation to senior management to resolve issues with the e-commerce platform rollout.",0.62,0.72,High
R0236,P056,mining supply chain,Solwezi,Cost/Financial,"A significant risk: depletion of the contingency reserve allocated to the staff training programme, which could substantially increase the overall cost of the staff training programme.",0.59,0.73,High
R0237,P057,agribusiness,Kabwe,Cost/Financial,"A critical risk: ZMW depreciation against the US dollar increasing the cost of software licences for the solar power installation, which poses a serious risk to the successful completion of the solar power installation.",0.8,0.68,Critical
R0238,P058,ICT/software services,Kabwe,Scope/Requirements,"A noticeable risk: a misalignment between business requirements and the technical design of the financial reporting system, which is likely to require additional resources to keep the financial reporting system on track.",0.3,0.35,Medium
R0239,P059,mining supply chain,Chipata,External/Stakeholder,"A noticeable risk: dependency on a single internet service provider with no backup link for the solar power installation, which could delay the solar power installation by one to two weeks if not addressed promptly.",0.54,0.44,High
R0240,P060,mining supply chain,Kitwe,Cost/Financial,"A significant risk: ZMW depreciation against the US dollar increasing the cost of software licences for the warehouse expansion project, which may require escalation to senior management to resolve issues with the warehouse expansion project.",0.51,0.76,High
R0241,P001,hospitality,Lusaka,Technical,"A minor risk: a delay in integrating the new inventory management system with mobile money APIs (MTN/Airtel), which was identified early and resolved with minimal effort.",0.09,0.24,Low
R0242,P002,mining supply chain,Lusaka,Resource/Staffing,"A slight risk: insufficient project management capacity to oversee the solar power installation, which was identified early and resolved with minimal effort.",0.25,0.05,Low
R0243,P003,agribusiness,Chipata,External/Stakeholder,"A small risk: a change in data protection regulations affecting the design of the staff training programme, which was identified early and resolved with minimal effort.",0.2,0.26,Low
R0244,P004,manufacturing,Livingstone,Scope/Requirements,"A severe risk: incomplete requirements gathering due to limited stakeholder availability for the warehouse expansion project, which poses a serious risk to the successful completion of the warehouse expansion project.",0.82,0.69,Critical
R0245,P005,manufacturing,Livingstone,Resource/Staffing,"A minor risk: a shortage of skilled ICT staff in Livingstone able to support the point-of-sale upgrade, which was identified early and resolved with minimal effort.",0.14,0.3,Low
R0246,P006,agribusiness,Choma,Resource/Staffing,"A moderate risk: reliance on part-time staff to support the branch network expansion after hours, which is likely to require additional resources to keep the branch network expansion on track.",0.44,0.46,Medium
R0247,P007,agribusiness,Ndola,Cost/Financial,"A significant risk: depletion of the contingency reserve allocated to the financial reporting system, which could substantially increase the overall cost of the financial reporting system.",0.52,0.77,High
R0248,P008,construction,Lusaka,Technical,"A minor risk: a delay in integrating the staff training programme with mobile money APIs (MTN/Airtel), which required minor adjustments but did not affect the overall plan for the staff training programme.",0.33,0.14,Low
R0249,P009,manufacturing,Kitwe,Technical,"A significant risk: a licensing conflict with third-party software used in the staff training programme, which could substantially increase the overall cost of the staff training programme.",0.62,0.75,Critical
R0250,P010,agribusiness,Solwezi,Schedule,"A serious risk: a delay in stakeholder sign-off on a key milestone for the mobile money integration, which may require escalation to senior management to resolve issues with the mobile money integration.",0.48,0.53,High
R0251,P011,agribusiness,Solwezi,Scope/Requirements,"A major risk: a lack of documented standard operating procedures needed to configure the customer database migration, which threatens to push the customer database migration significantly behind schedule.",0.64,0.72,Critical
R0252,P012,hospitality,Kitwe,Resource/Staffing,"A moderate risk: the resignation of a key team member midway through the customer database migration, which could delay the customer database migration by one to two weeks if not addressed promptly.",0.28,0.44,Medium
R0253,P013,logistics,Kabwe,Resource/Staffing,"A noticeable risk: reliance on part-time staff to support the warehouse expansion project after hours, which is likely to require additional resources to keep the warehouse expansion project on track.",0.36,0.28,Medium
R0254,P014,construction,Ndola,Technical,"A significant risk: a performance bottleneck in the warehouse expansion project under the low-bandwidth conditions typical in Ndola, which threatens to push the warehouse expansion project significantly behind schedule.",0.58,0.64,High
R0255,P015,logistics,Ndola,Cost/Financial,"A small risk: underestimated cloud hosting costs for the branch network expansion, which was identified early and resolved with minimal effort.",0.31,0.05,Low
R0256,P016,hospitality,Kitwe,Scope/Requirements,"A major risk: a lack of documented standard operating procedures needed to configure the e-commerce platform rollout, which threatens to push the e-commerce platform rollout significantly behind schedule.",0.5,0.54,High
R0257,P017,ICT/software services,Kabwe,Resource/Staffing,"A small risk: scheduling conflicts with contractors assigned to the staff training programme, which required minor adjustments but did not affect the overall plan for the staff training programme.",0.2,0.07,Low
R0258,P018,mining supply chain,Livingstone,Scope/Requirements,"A major risk: conflicting priorities among departments regarding the financial reporting system, which may require escalation to senior management to resolve issues with the financial reporting system.",0.48,0.56,High
R0259,P019,hospitality,Solwezi,Cost/Financial,"A growing risk: import duties on hardware for the point-of-sale upgrade being higher than originally estimated, which is likely to require additional resources to keep the point-of-sale upgrade on track.",0.49,0.51,High
R0260,P020,logistics,Choma,External/Stakeholder,"A noticeable risk: broader economic instability affecting business confidence in the e-commerce platform rollout, which has raised concerns among the project team about the quality of the e-commerce platform rollout.",0.3,0.37,Medium
R0261,P021,logistics,Livingstone,Resource/Staffing,"A major risk: over-reliance on a single subject-matter expert for the financial reporting system, which threatens to push the financial reporting system significantly behind schedule.",0.56,0.74,High
R0262,P022,agribusiness,Kitwe,Schedule,"A potentially catastrophic risk: scope creep that is pushing back the planned milestones for the financial reporting system, which poses a serious risk to the successful completion of the financial reporting system.",0.93,0.76,Critical
R0263,P023,mining supply chain,Kabwe,External/Stakeholder,"A major risk: a change in data protection regulations affecting the design of the mobile money integration, which may require escalation to senior management to resolve issues with the mobile money integration.",0.49,0.56,High
R0264,P024,mining supply chain,Choma,Resource/Staffing,"A growing risk: insufficient project management capacity to oversee the mobile money integration, which has raised concerns among the project team about the quality of the mobile money integration.",0.42,0.41,Medium
R0265,P025,retail,Ndola,Cost/Financial,"A small risk: import duties on hardware for the branch network expansion being higher than originally estimated, which required minor adjustments but did not affect the overall plan for the branch network expansion.",0.28,0.25,Low
R0266,P026,hospitality,Solwezi,Scope/Requirements,"A serious risk: a misalignment between business requirements and the technical design of the customer database migration, which could substantially increase the overall cost of the customer database migration.",0.48,0.48,High
R0267,P027,logistics,Kitwe,Resource/Staffing,"A noticeable risk: insufficient project management capacity to oversee the financial reporting system, which could delay the financial reporting system by one to two weeks if not addressed promptly.",0.55,0.39,Medium
R0268,P028,ICT/software services,Solwezi,External/Stakeholder,"A slight risk: dependency on a single internet service provider with no backup link for the warehouse expansion project, which caused only a brief delay to the warehouse expansion project.",0.15,0.29,Low
R0269,P029,retail,Solwezi,Resource/Staffing,"A moderate risk: a shortage of skilled ICT staff in Solwezi able to support the point-of-sale upgrade, which is likely to require additional resources to keep the point-of-sale upgrade on track.",0.34,0.49,Medium
R0270,P030,construction,Livingstone,External/Stakeholder,"A major risk: dependency on a single internet service provider with no backup link for the warehouse expansion project, which threatens to push the warehouse expansion project significantly behind schedule.",0.62,0.57,High
R0271,P031,hospitality,Kitwe,External/Stakeholder,"A serious risk: dependency on a single internet service provider with no backup link for the warehouse expansion project, which may require escalation to senior management to resolve issues with the warehouse expansion project.",0.57,0.71,High
R0272,P032,ICT/software services,Livingstone,Technical,"A moderate risk: a compatibility issue between the e-commerce platform rollout and the existing point-of-sale hardware, which has raised concerns among the project team about the quality of the e-commerce platform rollout.",0.48,0.49,High
R0273,P033,retail,Choma,Cost/Financial,"A slight risk: currency exchange losses on international payments related to the e-commerce platform rollout, which required minor adjustments but did not affect the overall plan for the e-commerce platform rollout.",0.13,0.31,Low
R0274,P034,logistics,Ndola,Resource/Staffing,"A moderate risk: high staff turnover during the implementation of the financial reporting system, which has raised concerns among the project team about the quality of the financial reporting system.",0.36,0.39,Medium
R0275,P035,retail,Solwezi,External/Stakeholder,"A noticeable risk: a change in data protection regulations affecting the design of the warehouse expansion project, which has raised concerns among the project team about the quality of the warehouse expansion project.",0.32,0.29,Medium
R0276,P036,hospitality,Kabwe,Scope/Requirements,"A growing risk: additional feature requests expanding the original scope of the warehouse expansion project, which has raised concerns among the project team about the quality of the warehouse expansion project.",0.31,0.44,Medium
R0277,P037,logistics,Kitwe,Cost/Financial,"A small risk: ZMW depreciation against the US dollar increasing the cost of software licences for the warehouse expansion project, which caused only a brief delay to the warehouse expansion project.",0.3,0.24,Low
R0278,P038,hospitality,Choma,Resource/Staffing,"A small risk: reliance on part-time staff to support the branch network expansion after hours, which was identified early and resolved with minimal effort.",0.26,0.17,Low
R0279,P039,agribusiness,Chipata,Technical,"A minor risk: a data loss incident during the migration of records for the e-commerce platform rollout, which required minor adjustments but did not affect the overall plan for the e-commerce platform rollout.",0.13,0.21,Low
R0280,P040,retail,Ndola,Resource/Staffing,"A major risk: a shortage of skilled ICT staff in Ndola able to support the branch network expansion, which may require escalation to senior management to resolve issues with the branch network expansion.",0.53,0.64,High
R0281,P041,manufacturing,Ndola,Schedule,"A noticeable risk: rainy-season disruptions to site logistics for the customer database migration in Ndola, which is likely to require additional resources to keep the customer database migration on track.",0.34,0.55,Medium
R0282,P042,manufacturing,Ndola,Technical,"A potentially catastrophic risk: a licensing conflict with third-party software used in the point-of-sale upgrade, which may result in the SME abandoning the point-of-sale upgrade altogether.",0.67,0.86,Critical
R0283,P043,manufacturing,Kitwe,Resource/Staffing,"A significant risk: over-reliance on a single subject-matter expert for the warehouse expansion project, which may require escalation to senior management to resolve issues with the warehouse expansion project.",0.69,0.73,Critical
R0284,P044,ICT/software services,Solwezi,Scope/Requirements,"A growing risk: frequent change requests from stakeholders affecting the warehouse expansion project, which could delay the warehouse expansion project by one to two weeks if not addressed promptly.",0.34,0.33,Medium
R0285,P045,construction,Chipata,Resource/Staffing,"A critical risk: over-reliance on a single subject-matter expert for the new inventory management system, which could halt the new inventory management system entirely until resolved.",0.85,0.65,Critical
R0286,P046,construction,Choma,External/Stakeholder,"A major risk: a security incident at the project site affecting the customer database migration, which could substantially increase the overall cost of the customer database migration.",0.62,0.54,High
R0287,P047,logistics,Chipata,Technical,"A slight risk: a software bug discovered in the core module of the customer database migration, which required minor adjustments but did not affect the overall plan for the customer database migration.",0.19,0.2,Low
R0288,P048,hospitality,Ndola,Resource/Staffing,"A minor risk: reliance on part-time staff to support the solar power installation after hours, which caused only a brief delay to the solar power installation.",0.12,0.18,Low
R0289,P049,mining supply chain,Kitwe,Cost/Financial,"A moderate risk: ZMW depreciation against the US dollar increasing the cost of software licences for the solar power installation, which could delay the solar power installation by one to two weeks if not addressed promptly.",0.49,0.52,High
R0290,P050,construction,Ndola,Resource/Staffing,"A major risk: scheduling conflicts with contractors assigned to the new inventory management system, which may require escalation to senior management to resolve issues with the new inventory management system.",0.58,0.45,High
R0291,P051,ICT/software services,Kitwe,External/Stakeholder,"A critical risk: delays in approvals from an external stakeholder (e.g. a bank or regulator) needed for the staff training programme, which may result in the SME abandoning the staff training programme altogether.",0.63,0.73,Critical
R0292,P052,ICT/software services,Kabwe,Schedule,"A severe risk: a contractor delay affecting the implementation timeline of the new inventory management system, which may result in the SME abandoning the new inventory management system altogether.",0.85,0.86,Critical
R0293,P053,construction,Ndola,Schedule,"A small risk: a delay in the delivery of imported equipment for the point-of-sale upgrade pending ZRA customs clearance, which was identified early and resolved with minimal effort.",0.23,0.21,Low
R0294,P054,mining supply chain,Kitwe,Technical,"A significant risk: a compatibility issue between the customer database migration and the existing point-of-sale hardware, which threatens to push the customer database migration significantly behind schedule.",0.47,0.58,High
R0295,P055,construction,Kabwe,Cost/Financial,"A moderate risk: ZMW depreciation against the US dollar increasing the cost of software licences for the warehouse expansion project, which has raised concerns among the project team about the quality of the warehouse expansion project.",0.44,0.45,Medium
